"am_gene_ID","am_gene_symbol","dr_gene_ID","dr_gene_symbol"
"ENSAMXG00000000157","GASK1A","ENSDARG00000076862","GASK1A"
"ENSAMXG00000000159","kdrl","ENSDARG00000105215","kdrl"
"ENSAMXG00000000160","snrka","ENSDARG00000070832","snrka"
"ENSAMXG00000000161","ano10a","ENSDARG00000057736","ano10a"
"ENSAMXG00000000162","ABHD5","ENSDARG00000099189","ENSDARG00000099189"
"ENSAMXG00000000164","trim71","ENSDARG00000075593","trim71"
"ENSAMXG00000000165","cnot10","ENSDARG00000058528","cnot10"
"ENSAMXG00000000175","efhd2","ENSDARG00000055759","efhd2"
"ENSAMXG00000000179","cacna1sb","ENSDARG00000042552","cacna1sb"
"ENSAMXG00000000180","TEX11","ENSDARG00000078995","TEX11"
"ENSAMXG00000000183","ENSAMXG00000000183","ENSDARG00000097877","ENSDARG00000097877"
"ENSAMXG00000000184","foxp3a","ENSDARG00000055750","foxp3a"
"ENSAMXG00000000186","sema3ga","ENSDARG00000042545","sema3ga"
"ENSAMXG00000000187","ULK4","ENSDARG00000004176","ULK4"
"ENSAMXG00000000188","DLG3","ENSDARG00000076796","DLG3"
"ENSAMXG00000000190","GDPD2","ENSDARG00000073870","GDPD2"
"ENSAMXG00000000191","pdzd11","ENSDARG00000053194","pdzd11"
"ENSAMXG00000000192","stard14","ENSDARG00000031929","stard14"
"ENSAMXG00000000196","rpl39","ENSDARG00000036316","rpl39"
"ENSAMXG00000000197","stk38a","ENSDARG00000018516","STK38"
"ENSAMXG00000000198","ctnnb1","ENSDARG00000014571","ctnnb1"
"ENSAMXG00000000202","NKAP","ENSDARG00000033450","nkap"
"ENSAMXG00000000204","TMEM255A","ENSDARG00000073911","TMEM255A"
"ENSAMXG00000000207","PREX1","ENSDARG00000075793","PREX1"
"ENSAMXG00000000210","MRS2","ENSDARG00000062872","MRS2"
"ENSAMXG00000000217","cep76","ENSDARG00000058319","cep76"
"ENSAMXG00000000221","grhl2a","ENSDARG00000058342","grhl2a"
"ENSAMXG00000000229","ENSAMXG00000000229","ENSDARG00000058351","ENSDARG00000058351"
"ENSAMXG00000000230","zdhhc9","ENSDARG00000060515","zdhhc9"
"ENSAMXG00000000234","pip5k1ab","ENSDARG00000024642","pip5k1ab"
"ENSAMXG00000000237","xpnpep2","ENSDARG00000026017","xpnpep2"
"ENSAMXG00000000239","ocrl","ENSDARG00000078106","ocrl"
"ENSAMXG00000000242","urp1","ENSDARG00000093493","urp1"
"ENSAMXG00000000252","ENSAMXG00000000252","ENSDARG00000075048","ENSDARG00000075048"
"ENSAMXG00000000253","erbb2","ENSDARG00000026294","erbb2"
"ENSAMXG00000000255","ENSAMXG00000000255","ENSDARG00000100552","ENSDARG00000100552"
"ENSAMXG00000000257","pth3r","ENSDARG00000018418","pth3r"
"ENSAMXG00000000266","zc3h10","ENSDARG00000030335","zc3h10"
"ENSAMXG00000000267","zgc:86764","ENSDARG00000005098","zgc:86764"
"ENSAMXG00000000268","ENSAMXG00000000268","ENSDARG00000014239","ENSDARG00000014239"
"ENSAMXG00000000273","ENSAMXG00000000273","ENSDARG00000075864","ENSDARG00000075864"
"ENSAMXG00000000277","MMP24","ENSDARG00000018896","MMP24"
"ENSAMXG00000000279","rbp4l","ENSDARG00000044684","rbp4l"
"ENSAMXG00000000284","ENSAMXG00000000284","ENSDARG00000027638","ENSDARG00000027638"
"ENSAMXG00000000288","dpysl2b","ENSDARG00000032083","dpysl2b"
"ENSAMXG00000000289","TBCD","ENSDARG00000098749","TBCD"
"ENSAMXG00000000290","PDE6B","ENSDARG00000011671","PDE6B"
"ENSAMXG00000000294","ppp2r2ab","ENSDARG00000006624","ppp2r2ab"
"ENSAMXG00000000297","ENSAMXG00000000297","ENSDARG00000025174","zgc:103482"
"ENSAMXG00000000300","TTC6","ENSDARG00000104125","TTC6"
"ENSAMXG00000000301","abcf2a","ENSDARG00000038785","abcf2a"
"ENSAMXG00000000302","znf750","ENSDARG00000102267","znf750"
"ENSAMXG00000000304","metrnla","ENSDARG00000101914","metrnla"
"ENSAMXG00000000310","PLA2G1B","ENSDARG00000009153","pla2g1b"
"ENSAMXG00000000312","tyro3","ENSDARG00000005356","tyro3"
"ENSAMXG00000000313","tnfrsfa","ENSDARG00000004451","tnfrsfa"
"ENSAMXG00000000316","idh3a","ENSDARG00000030278","idh3a"
"ENSAMXG00000000318","ACSBG1","ENSDARG00000062077","ACSBG1"
"ENSAMXG00000000319","ENSAMXG00000000319","ENSDARG00000103746","ENSDARG00000103746"
"ENSAMXG00000000324","syt10","ENSDARG00000045750","syt10"
"ENSAMXG00000000325","tbpl2","ENSDARG00000097302","tbpl2"
"ENSAMXG00000000326","trpm1b","ENSDARG00000011259","trpm1a"
"ENSAMXG00000000329","atg14","ENSDARG00000002670","atg14"
"ENSAMXG00000000330","SDR42E2","ENSDARG00000059914","SDR42E2"
"ENSAMXG00000000332","unc5da","ENSDARG00000092722","unc5da"
"ENSAMXG00000000335","irx7","ENSDARG00000002601","irx7"
"ENSAMXG00000000338","OTUD7A","ENSDARG00000045556","OTUD7A"
"ENSAMXG00000000341","st6gal2a","ENSDARG00000039335","st6gal2a"
"ENSAMXG00000000348","RASAL2","ENSDARG00000036257","RASAL2"
"ENSAMXG00000000350","ENSAMXG00000000350","ENSDARG00000087210","ENSDARG00000087210"
"ENSAMXG00000000351","syt1a","ENSDARG00000030614","syt1a"
"ENSAMXG00000000352","ppp1r15b","ENSDARG00000068128","ppp1r15b"
"ENSAMXG00000000354","spock3","ENSDARG00000070266","spock3"
"ENSAMXG00000000355","si:ch211-185a18.2","ENSDARG00000097772","si:ch211-185a18.2"
"ENSAMXG00000000356","EP400","ENSDARG00000100965","EP400"
"ENSAMXG00000000358","plekha7a","ENSDARG00000060813","plekha7a"
"ENSAMXG00000000367","GCNT3","ENSDARG00000060471","GCNT3"
"ENSAMXG00000000371","fmr1","ENSDARG00000037433","fmr1"
"ENSAMXG00000000376","det1","ENSDARG00000098247","det1"
"ENSAMXG00000000378","ptbp2b","ENSDARG00000015901","ptbp2b"
"ENSAMXG00000000379","arid4a","ENSDARG00000043873","arid4a"
"ENSAMXG00000000381","CRISPLD1","ENSDARG00000077275","CRISPLD1"
"ENSAMXG00000000386","ppp1r12a","ENSDARG00000010784","ppp1r12a"
"ENSAMXG00000000387","AFF2","ENSDARG00000052242","AFF2"
"ENSAMXG00000000388","CTTNBP2","ENSDARG00000040991","CTTNBP2"
"ENSAMXG00000000390","HDAC5","ENSDARG00000075139","HDAC5"
"ENSAMXG00000000394","aclya","ENSDARG00000099079","aclya"
"ENSAMXG00000000395","ICE2","ENSDARG00000086670","ICE2"
"ENSAMXG00000000399","ENSAMXG00000000399","ENSDARG00000056874","lygl1"
"ENSAMXG00000000400","RWDD3","ENSDARG00000057315","rwdd3"
"ENSAMXG00000000403","roraa","ENSDARG00000031768","roraa"
"ENSAMXG00000000404","zgc:66433","ENSDARG00000071697","zgc:66433"
"ENSAMXG00000000407","hccsa.1","ENSDARG00000028131","hccsa.1"
"ENSAMXG00000000408","rnf20","ENSDARG00000016664","rnf20"
"ENSAMXG00000000411","maea","ENSDARG00000053691","maea"
"ENSAMXG00000000412","ZNF385C","ENSDARG00000058154","ZNF385C"
"ENSAMXG00000000416","aldob","ENSDARG00000053684","aldob"
"ENSAMXG00000000418","timm9","ENSDARG00000043865","timm9"
"ENSAMXG00000000419","ENSAMXG00000000419","ENSDARG00000087306","ENSDARG00000087306"
"ENSAMXG00000000420","cftr","ENSDARG00000041107","cftr"
"ENSAMXG00000000424","pi15a","ENSDARG00000045378","pi15a"
"ENSAMXG00000000425","myf6","ENSDARG00000029830","myf6"
"ENSAMXG00000000426","psma3","ENSDARG00000086618","psma3"
"ENSAMXG00000000428","myf5","ENSDARG00000007277","myf5"
"ENSAMXG00000000435","CREBRF","ENSDARG00000105114","CREBRF"
"ENSAMXG00000000436","rnaseh2a","ENSDARG00000018891","rnaseh2a"
"ENSAMXG00000000437","ENSAMXG00000000437","ENSDARG00000061798","ENSDARG00000061798"
"ENSAMXG00000000441","JPH1","ENSDARG00000058603","jph1a"
"ENSAMXG00000000443","ENSAMXG00000000443","ENSDARG00000044062","ctbp2a"
"ENSAMXG00000000447","asz1","ENSDARG00000004823","asz1"
"ENSAMXG00000000449","prokr1a","ENSDARG00000074182","prokr1a"
"ENSAMXG00000000452","pabpn1","ENSDARG00000045373","pabpn1"
"ENSAMXG00000000454","ENSAMXG00000000454","ENSDARG00000090072","ENSDARG00000090072"
"ENSAMXG00000000458","kcnh4a","ENSDARG00000062565","kcnh4a"
"ENSAMXG00000000459","fzd3b","ENSDARG00000058692","fzd3b"
"ENSAMXG00000000460","stau2","ENSDARG00000026801","stau2"
"ENSAMXG00000000461","CDC42BPA","ENSDARG00000104283","CDC42BPA"
"ENSAMXG00000000465","TERF1","ENSDARG00000058710","ENSDARG00000058710"
"ENSAMXG00000000466","rdm1","ENSDARG00000038186","rdm1"
"ENSAMXG00000000468","lft2","ENSDARG00000044059","lft2"
"ENSAMXG00000000469","KCNB2","ENSDARG00000088842","KCNB2"
"ENSAMXG00000000472","IFT140","ENSDARG00000031886","IFT140"
"ENSAMXG00000000475","trpa1b","ENSDARG00000031875","trpa1b"
"ENSAMXG00000000476","ENSAMXG00000000476","ENSDARG00000062575","ENSDARG00000062575"
"ENSAMXG00000000477","wee2","ENSDARG00000012718","wee2"
"ENSAMXG00000000478","get3","ENSDARG00000018190","get3"
"ENSAMXG00000000479","ahi1","ENSDARG00000044056","ahi1"
"ENSAMXG00000000480","stat5a","ENSDARG00000019392","stat5a"
"ENSAMXG00000000481","ENSAMXG00000000481","ENSDARG00000074191","zgc:172253"
"ENSAMXG00000000485","dennd11","ENSDARG00000062381","dennd11"
"ENSAMXG00000000489","slc18b1","ENSDARG00000044047","slc18b1"
"ENSAMXG00000000490","ENSAMXG00000000490","ENSDARG00000069627","ENSDARG00000069627"
"ENSAMXG00000000491","RIMS1","ENSDARG00000078902","ENSDARG00000078902"
"ENSAMXG00000000492","eya1","ENSDARG00000014259","eya1"
"ENSAMXG00000000493","agk","ENSDARG00000009837","agk"
"ENSAMXG00000000494","lactb","ENSDARG00000040803","lactb"
"ENSAMXG00000000495","TULP4","ENSDARG00000063056","TULP4"
"ENSAMXG00000000499","tmem266","ENSDARG00000101297","tmem266"
"ENSAMXG00000000502","stat3","ENSDARG00000022712","stat3"
"ENSAMXG00000000503","ighmbp2","ENSDARG00000069274","ighmbp2"
"ENSAMXG00000000506","ENSAMXG00000000506","ENSDARG00000063068","ENSDARG00000063068"
"ENSAMXG00000000507","ENSAMXG00000000507","ENSDARG00000069953","ENSDARG00000069953"
"ENSAMXG00000000508","etfa","ENSDARG00000101631","etfa"
"ENSAMXG00000000509","STK31","ENSDARG00000056339","ENSDARG00000056339"
"ENSAMXG00000000511","ncoa2","ENSDARG00000017929","ncoa2"
"ENSAMXG00000000512","prdm14","ENSDARG00000045371","prdm14"
"ENSAMXG00000000514","ngdn","ENSDARG00000045372","ngdn"
"ENSAMXG00000000516","CCDC170","ENSDARG00000016161","ENSDARG00000016161"
"ENSAMXG00000000517","ENSAMXG00000000517","ENSDARG00000103971","ENSDARG00000103971"
"ENSAMXG00000000519","dcaf11","ENSDARG00000009868","dcaf11"
"ENSAMXG00000000525","ddb2","ENSDARG00000041140","ddb2"
"ENSAMXG00000000526","rmnd1","ENSDARG00000027465","rmnd1"
"ENSAMXG00000000527","isl2a","ENSDARG00000003971","isl2a"
"ENSAMXG00000000528","atp6v0a1a","ENSDARG00000020847","atp6v0a1a"
"ENSAMXG00000000530","zgc:195173","ENSDARG00000077138","zgc:195173"
"ENSAMXG00000000532","si:ch1073-406l10.2","ENSDARG00000089645","si:ch1073-406l10.2"
"ENSAMXG00000000534","pals2a","ENSDARG00000056892","pals2a"
"ENSAMXG00000000539","aspdh","ENSDARG00000038297","aspdh"
"ENSAMXG00000000541","kif23","ENSDARG00000014943","kif23"
"ENSAMXG00000000542","gys1","ENSDARG00000016875","gys1"
"ENSAMXG00000000544","pold1","ENSDARG00000027689","pold1"
"ENSAMXG00000000545","zgc:55558","ENSDARG00000013161","zgc:55558"
"ENSAMXG00000000546","fbxo30a","ENSDARG00000058561","fbxo30a"
"ENSAMXG00000000547","tle3a","ENSDARG00000002787","tle3a"
"ENSAMXG00000000548","slc4a2b","ENSDARG00000052330","slc4a2b"
"ENSAMXG00000000549","SHPRH","ENSDARG00000075884","SHPRH"
"ENSAMXG00000000551","gsdmeb","ENSDARG00000040485","gsdmeb"
"ENSAMXG00000000553","ENSAMXG00000000553","ENSDARG00000007129","ENSDARG00000007129"
"ENSAMXG00000000555","GRM1","ENSDARG00000098320","GRM1"
"ENSAMXG00000000556","eps8l1a","ENSDARG00000057984","eps8l1a"
"ENSAMXG00000000557","scaper","ENSDARG00000023104","scaper"
"ENSAMXG00000000558","metap1d","ENSDARG00000019715","metap1d"
"ENSAMXG00000000560","STXBP5","ENSDARG00000029234","STXBP5"
"ENSAMXG00000000561","aebp2","ENSDARG00000006038","aebp2"
"ENSAMXG00000000563","DIS3","ENSDARG00000060559","DIS3"
"ENSAMXG00000000568","eftud2","ENSDARG00000012261","eftud2"
"ENSAMXG00000000572","bora","ENSDARG00000042688","bora"
"ENSAMXG00000000574","ENSAMXG00000000574","ENSDARG00000006151","ENSDARG00000006151"
"ENSAMXG00000000576","ENSAMXG00000000576","ENSDARG00000089075","ENSDARG00000089075"
"ENSAMXG00000000578","galcb","ENSDARG00000016474","galcb"
"ENSAMXG00000000582","ak7b","ENSDARG00000017023","ak7b"
"ENSAMXG00000000583","ctdspl2a","ENSDARG00000061587","ctdspl2a"
"ENSAMXG00000000587","sqor","ENSDARG00000017034","sqor"
"ENSAMXG00000000590","ATP8B4","ENSDARG00000079453","ATP8B4"
"ENSAMXG00000000591","tmem41ab","ENSDARG00000026771","tmem41ab"
"ENSAMXG00000000593","galk2","ENSDARG00000004059","galk2"
"ENSAMXG00000000599","cops2","ENSDARG00000004785","cops2"
"ENSAMXG00000000602","mrps34","ENSDARG00000057910","mrps34"
"ENSAMXG00000000603","ENSAMXG00000000603","ENSDARG00000058782","ENSDARG00000058782"
"ENSAMXG00000000612","vps8","ENSDARG00000060477","vps8"
"ENSAMXG00000000618","hoxa11b","ENSDARG00000007009","hoxa11b"
"ENSAMXG00000000619","CEP152","ENSDARG00000075725","CEP152"
"ENSAMXG00000000622","hibadhb","ENSDARG00000007959","hibadhb"
"ENSAMXG00000000629","ADA2","ENSDARG00000051746","ada2a"
"ENSAMXG00000000630","afg1la","ENSDARG00000011466","afg1la"
"ENSAMXG00000000631","vsnl1b","ENSDARG00000044053","vsnl1b"
"ENSAMXG00000000632","ENSAMXG00000000632","ENSDARG00000100731","slc27a2b"
"ENSAMXG00000000633","ENSAMXG00000000633","ENSDARG00000091821","ENSDARG00000091821"
"ENSAMXG00000000638","CRAMP1","ENSDARG00000079616","CRAMP1"
"ENSAMXG00000000639","marchf4l","ENSDARG00000055839","marchf4l"
"ENSAMXG00000000640","ENSAMXG00000000640","ENSDARG00000087870","ENSDARG00000087870"
"ENSAMXG00000000641","TJP1","ENSDARG00000079374","ENSDARG00000079374"
"ENSAMXG00000000642","ccdc167","ENSDARG00000045850","ccdc167"
"ENSAMXG00000000644","ENSAMXG00000000644","ENSDARG00000078552","ENSDARG00000078552"
"ENSAMXG00000000645","ENSAMXG00000000645","ENSDARG00000015931","ENSDARG00000015931"
"ENSAMXG00000000650","TP53I3","ENSDARG00000106158","TP53I3"
"ENSAMXG00000000651","osbpl3a","ENSDARG00000033251","osbpl3a"
"ENSAMXG00000000658","pcca","ENSDARG00000028982","pcca"
"ENSAMXG00000000662","NAV1","ENSDARG00000058771","NAV1"
"ENSAMXG00000000664","STOX2","ENSDARG00000070162","STOX2"
"ENSAMXG00000000666","prkcsh","ENSDARG00000004470","prkcsh"
"ENSAMXG00000000667","pcdh18a","ENSDARG00000089805","pcdh18a"
"ENSAMXG00000000668","COQ8A","ENSDARG00000032426","COQ8A"
"ENSAMXG00000000669","cnksr1","ENSDARG00000032932","cnksr1"
"ENSAMXG00000000673","lrp6","ENSDARG00000100143","lrp6"
"ENSAMXG00000000678","ing2","ENSDARG00000104907","ing2"
"ENSAMXG00000000680","mybphb","ENSDARG00000003081","mybphb"
"ENSAMXG00000000684","MON2","ENSDARG00000099798","MON2"
"ENSAMXG00000000686","ENSAMXG00000000686","ENSDARG00000062632","ENSDARG00000062632"
"ENSAMXG00000000687","elavl4","ENSDARG00000045639","elavl4"
"ENSAMXG00000000691","ZNF652","ENSDARG00000062302","ZNF652"
"ENSAMXG00000000692","tln2a","ENSDARG00000017901","tln2a"
"ENSAMXG00000000694","TATDN3","ENSDARG00000044072","TATDN3"
"ENSAMXG00000000696","slc9a8","ENSDARG00000020699","slc9a8"
"ENSAMXG00000000698","ppm1h","ENSDARG00000063684","ppm1h"
"ENSAMXG00000000705","tm9sf2","ENSDARG00000003866","tm9sf2"
"ENSAMXG00000000706","arhgap29b","ENSDARG00000026329","ENSDARG00000026329"
"ENSAMXG00000000714","ENSAMXG00000000714","ENSDARG00000018773","ENSDARG00000018773"
"ENSAMXG00000000715","dusp16","ENSDARG00000102474","dusp16"
"ENSAMXG00000000718","ENSAMXG00000000718","ENSDARG00000093120","ENSDARG00000093120"
"ENSAMXG00000000730","CORO2B","ENSDARG00000079440","CORO2B"
"ENSAMXG00000000733","ENSAMXG00000000733","ENSDARG00000076585","ENSDARG00000076585"
"ENSAMXG00000000741","txlnbb","ENSDARG00000076241","txlnbb"
"ENSAMXG00000000744","ENSAMXG00000000744","ENSDARG00000079631","ENSDARG00000079631"
"ENSAMXG00000000745","tbk1","ENSDARG00000103095","tbk1"
"ENSAMXG00000000749","ENSAMXG00000000749","ENSDARG00000097169","ENSDARG00000097169"
"ENSAMXG00000000752","ENSAMXG00000000752","ENSDARG00000042937","ENSDARG00000042937"
"ENSAMXG00000000756","ITGA11","ENSDARG00000007950","ITGA11"
"ENSAMXG00000000757","ENSAMXG00000000757","ENSDARG00000034910","ENSDARG00000034910"
"ENSAMXG00000000758","slc22a3","ENSDARG00000058775","slc22a3"
"ENSAMXG00000000760","F3","ENSDARG00000005673","f3b"
"ENSAMXG00000000763","rbm28","ENSDARG00000025332","rbm28"
"ENSAMXG00000000764","DNTTIP1","ENSDARG00000101618","DNTTIP1"
"ENSAMXG00000000766","slc25a4","ENSDARG00000027355","slc25a4"
"ENSAMXG00000000775","eps8a","ENSDARG00000102128","eps8a"
"ENSAMXG00000000777","cpb2","ENSDARG00000037144","cpb2"
"ENSAMXG00000000781","ankrd37","ENSDARG00000056376","ankrd37"
"ENSAMXG00000000783","camk2a","ENSDARG00000053617","camk2a"
"ENSAMXG00000000786","HGF","ENSDARG00000079076","HGF"
"ENSAMXG00000000789","PTPRO","ENSDARG00000110470","ENSDARG00000110470"
"ENSAMXG00000000792","ENSAMXG00000000792","ENSDARG00000088631","ENSDARG00000088631"
"ENSAMXG00000000794","ufsp2","ENSDARG00000056369","ufsp2"
"ENSAMXG00000000796","RECK","ENSDARG00000090039","RECK"
"ENSAMXG00000000798","PTK2B","ENSDARG00000022841","PTK2B"
"ENSAMXG00000000799","pltp","ENSDARG00000104495","pltp"
"ENSAMXG00000000803","lamb4","ENSDARG00000039133","lamb4"
"ENSAMXG00000000806","tgfbr1b","ENSDARG00000042259","tgfbr1b"
"ENSAMXG00000000809","CLN6","ENSDARG00000090002","CLN6"
"ENSAMXG00000000813","cnn1a","ENSDARG00000017193","cnn1a"
"ENSAMXG00000000814","pdlim3a","ENSDARG00000011023","pdlim3a"
"ENSAMXG00000000816","CACNA2D1","ENSDARG00000073752","CACNA2D1"
"ENSAMXG00000000817","ephx2","ENSDARG00000040255","ephx2"
"ENSAMXG00000000818","ndufa2","ENSDARG00000021984","ndufa2"
"ENSAMXG00000000822","ik","ENSDARG00000004161","ik"
"ENSAMXG00000000823","pld6","ENSDARG00000018107","rab3da"
"ENSAMXG00000000824","ENSAMXG00000000824","ENSDARG00000077245","ENSDARG00000077245"
"ENSAMXG00000000825","zgc:85932","ENSDARG00000098239","zgc:85932"
"ENSAMXG00000000826","ENSAMXG00000000826","ENSDARG00000087492","ENSDARG00000087492"
"ENSAMXG00000000828","ENSAMXG00000000828","ENSDARG00000075664","ENSDARG00000075664"
"ENSAMXG00000000829","ENSAMXG00000000829","ENSDARG00000003046","ENSDARG00000003046"
"ENSAMXG00000000830","ENSAMXG00000000830","ENSDARG00000019713","ENSDARG00000019713"
"ENSAMXG00000000835","lamb1a","ENSDARG00000101209","lamb1a"
"ENSAMXG00000000846","spg11","ENSDARG00000045968","spg11"
"ENSAMXG00000000847","plaat1l","ENSDARG00000074014","plaat1l"
"ENSAMXG00000000851","ENSAMXG00000000851","ENSDARG00000075815","ENSDARG00000075815"
"ENSAMXG00000000856","abcg2a","ENSDARG00000100075","abcg2a"
"ENSAMXG00000000857","ENSAMXG00000000857","ENSDARG00000086620","ENSDARG00000086620"
"ENSAMXG00000000858","ENSAMXG00000000858","ENSDARG00000101455","ENSDARG00000101455"
"ENSAMXG00000000859","LARP1","ENSDARG00000101722","LARP1"
"ENSAMXG00000000861","ftr67","ENSDARG00000098820","ftr67"
"ENSAMXG00000000862","ENSAMXG00000000862","ENSDARG00000040258","ENSDARG00000040258"
"ENSAMXG00000000866","dldh","ENSDARG00000008785","dldh"
"ENSAMXG00000000870","znf800a","ENSDARG00000004594","znf800a"
"ENSAMXG00000000871","gpsm2l","ENSDARG00000102026","gpsm2l"
"ENSAMXG00000000872","ENSAMXG00000000872","ENSDARG00000002745","tdh"
"ENSAMXG00000000873","cyp24a1","ENSDARG00000103277","cyp24a1"
"ENSAMXG00000000874","sema3e","ENSDARG00000036571","sema3e"
"ENSAMXG00000000875","XKR6","ENSDARG00000020443","XKR6"
"ENSAMXG00000000881","ENSAMXG00000000881","ENSDARG00000040261","runx2a"
"ENSAMXG00000000888","CC2D2A","ENSDARG00000090971","CC2D2A"
"ENSAMXG00000000890","rtf2","ENSDARG00000040607","rtf2"
"ENSAMXG00000000894","cdc5l","ENSDARG00000043797","cdc5l"
"ENSAMXG00000000899","HYAL4","ENSDARG00000051823","HYAL4"
"ENSAMXG00000000904","ENSAMXG00000000904","ENSDARG00000014113","wasla"
"ENSAMXG00000000906","CDH22","ENSDARG00000098824","CDH22"
"ENSAMXG00000000907","ZNFX1","ENSDARG00000100280","ZNFX1"
"ENSAMXG00000000910","lmod2a","ENSDARG00000045634","lmod2a"
"ENSAMXG00000000911","ddx27","ENSDARG00000091831","ddx27"
"ENSAMXG00000000912","ASB15","ENSDARG00000045633","ASB15"
"ENSAMXG00000000913","IQUB","ENSDARG00000061899","IQUB"
"ENSAMXG00000000916","itcha","ENSDARG00000074903","itcha"
"ENSAMXG00000000918","napba","ENSDARG00000013669","napba"
"ENSAMXG00000000919","slc13a1","ENSDARG00000045638","slc13a1"
"ENSAMXG00000000923","CADPS2","ENSDARG00000013312","ENSDARG00000013312"
"ENSAMXG00000000927","aass","ENSDARG00000051816","aass"
"ENSAMXG00000000928","cbfa2t2","ENSDARG00000074337","cbfa2t2"
"ENSAMXG00000000929","MCM8","ENSDARG00000074326","MCM8"
"ENSAMXG00000000931","sema3d","ENSDARG00000017369","sema3d"
"ENSAMXG00000000933","SNTA1","ENSDARG00000098420","SNTA1"
"ENSAMXG00000000934","PTPRZ1","ENSDARG00000051814","PTPRZ1"
"ENSAMXG00000000938","RALGAPB","ENSDARG00000088899","RALGAPB"
"ENSAMXG00000000941","crls1","ENSDARG00000038000","crls1"
"ENSAMXG00000000943","bmp2a","ENSDARG00000013409","bmp2a"
"ENSAMXG00000000944","ENSAMXG00000000944","ENSDARG00000013997","ENSDARG00000013997"
"ENSAMXG00000000945","UTRN","ENSDARG00000100222","UTRN"
"ENSAMXG00000000948","grm3","ENSDARG00000031712","grm3"
"ENSAMXG00000000949","ABCC8","ENSDARG00000077007","ABCC8"
